auction_ending,buying_format,country,currency,details,extra_fields,img_url,item_category,item_main_category,item_main_category_id,item_source_category_id,item_source_sub_category_id,item_sub_category,item_title,item_url,location,make,model,price,price_original,serial_number,source_item_id,state,thumbnail_s3_path,thumbnail_url,vendor_address,vendor_address2,vendor_categories,vendor_city,vendor_comments,vendor_contact,vendor_contact2,vendor_contact2_designation,vendor_contact_designation,vendor_contact_url,vendor_country,vendor_email,vendor_email1,vendor_email2,vendor_email3,vendor_facebook,vendor_fax,vendor_linkedin,vendor_location,vendor_logo_url,vendor_manufacturers,vendor_name,vendor_phone,vendor_phone2,vendor_services,vendor_skype,vendor_state,vendor_twitter,vendor_url,vendor_website,vendor_zipcode,year
,sale,USA,,,,,,Trucks,Trucks,,,,International PROSTAR 6x4,https://www.truckscorner.com/used/trucks-1/41209615/international-prostar-6x4.html,"
                    ",International,PROSTAR,,,,,"
                    ",,nan,,,,,,,,,,,,,,,,,,,"
                    ",,,Valenti Sales & Rentals,,,,,,,,,,2014
,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209356/41209356_1616703147_99.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209356/41209356_1616703147_206.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209356/41209356_1616703147_731.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209356/41209356_1616703147_105.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209356/41209356_1616703147_845.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209356/41209356_1616703147_309.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209356/41209356_1616703147_786.jpg",,Trucks,Trucks,,,,Freightliner M2106 ,https://www.truckscorner.com/auction/trucks-1/41209356/freightliner-m2106-n-a.html,"
                    ",Freightliner,M2106,,,,,"
                    ",,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41209356/41209356_1616703147_99.jpg,,,,,,,,,,,,,,,,,,,"
                    ",,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,2016
,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209205/41209205_1616702862_568.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209205/41209205_1616702862_397.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209205/41209205_1616702862_429.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209205/41209205_1616702862_895.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209205/41209205_1616702862_55.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209205/41209205_1616702862_594.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209205/41209205_1616702862_187.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209205/41209205_1616702862_40.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209205/41209205_1616702862_426.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209205/41209205_1616702862_139.jpg",,Trucks,Trucks,,,,Peterbilt 386 ,https://www.truckscorner.com/auction/trucks-1/41209205/peterbilt-386-n-a.html,"
                    ",Peterbilt,386,,,,,"
                    ",,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41209205/41209205_1616702862_568.jpg,,,,,,,,,,,,,,,,,,,"
                    ",,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,2008
,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209354/41209354_1616703142_801.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209354/41209354_1616703142_208.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209354/41209354_1616703142_650.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209354/41209354_1616703142_928.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209354/41209354_1616703142_385.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209354/41209354_1616703142_830.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209354/41209354_1616703142_314.jpg",,Trucks,Trucks,,,,Freightliner M2106 Others,https://www.truckscorner.com/auction/trucks-1/41209354/freightliner-m2106-others.html,"
                    ",Freightliner,M2106,,,,,"
                    ",,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41209354/41209354_1616703142_801.jpg,,,,,,,,,,,,,,,,,,,"
                    ",,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,2012
,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209258/41209258_1616702966_326.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209258/41209258_1616702966_274.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209258/41209258_1616702966_766.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209258/41209258_1616702966_193.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209258/41209258_1616702966_347.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209258/41209258_1616702966_990.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209258/41209258_1616702966_126.jpg",,Trucks,Trucks,,,,Chevrolet C7500 ,https://www.truckscorner.com/auction/trucks-1/41209258/chevrolet-c7500-n-a.html,"
                    ",Chevrolet,C7500,,,,,"
                    ",,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41209258/41209258_1616702966_326.jpg,,,,,,,,,,,,,,,,,,,"
                    ",,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,2003
,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209351/41209351_1616703134_402.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209351/41209351_1616703134_777.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209351/41209351_1616703134_618.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209351/41209351_1616703134_576.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209351/41209351_1616703134_762.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209351/41209351_1616703134_150.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209351/41209351_1616703134_142.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209351/41209351_1616703134_244.jpg",,Trucks,Trucks,,,,Freightliner M2106 ,https://www.truckscorner.com/auction/trucks-1/41209351/freightliner-m2106-n-a.html,"
                    ",Freightliner,M2106,,,,,"
                    ",,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41209351/41209351_1616703134_402.jpg,,,,,,,,,,,,,,,,,,,"
                    ",,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,2017
,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209403/41209403_1616703225_651.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209403/41209403_1616703225_410.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209403/41209403_1616703225_54.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209403/41209403_1616703225_129.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209403/41209403_1616703225_966.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209403/41209403_1616703225_188.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209403/41209403_1616703225_799.jpg",,Trucks,Trucks,,,,International 4300 Others,https://www.truckscorner.com/auction/trucks-1/41209403/international-4300-others.html,"
                    ",International,4300,,,,,"
                    ",,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41209403/41209403_1616703225_651.jpg,,,,,,,,,,,,,,,,,,,"
                    ",,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,2005
,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209350/41209350_1616703132_419.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209350/41209350_1616703132_170.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209350/41209350_1616703132_22.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209350/41209350_1616703132_434.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209350/41209350_1616703132_103.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209350/41209350_1616703132_87.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209350/41209350_1616703132_90.jpg",,Trucks,Trucks,,,,GMC 3500 ,https://www.truckscorner.com/auction/trucks-1/41209350/gmc-3500-n-a.html,"
                    ",GMC,3500,,,,,"
                    ",,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41209350/41209350_1616703132_419.jpg,,,,,,,,,,,,,,,,,,,"
                    ",,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,2017
,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209357/41209357_1616703149_246.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209357/41209357_1616703149_514.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209357/41209357_1616703149_249.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209357/41209357_1616703149_238.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209357/41209357_1616703149_616.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209357/41209357_1616703149_110.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209357/41209357_1616703149_432.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209357/41209357_1616703149_643.jpg",,Trucks,Trucks,,,,Freightliner M2106 ,https://www.truckscorner.com/auction/trucks-1/41209357/freightliner-m2106-n-a.html,"
                    ",Freightliner,M2106,,,,,"
                    ",,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41209357/41209357_1616703149_246.jpg,,,,,,,,,,,,,,,,,,,"
                    ",,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,2014
,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208434/41208434_1616701295_233.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208434/41208434_1616701295_931.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208434/41208434_1616701295_120.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208434/41208434_1616701295_225.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208434/41208434_1616701295_614.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208434/41208434_1616701295_786.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208434/41208434_1616701295_641.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208434/41208434_1616701295_959.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208434/41208434_1616701295_10.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208434/41208434_1616701295_137.jpg",,Trucks,Trucks,,,,Kenworth C500 ,https://www.truckscorner.com/auction/trucks-1/41208434/kenworth-c500-n-a.html,"
                    ",Kenworth,C500,,,,,"
                    ",,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41208434/41208434_1616701295_233.jpg,,,,,,,,,,,,,,,,,,,"
                    ",,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,1975
,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209353/41209353_1616703139_453.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209353/41209353_1616703139_382.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209353/41209353_1616703139_362.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209353/41209353_1616703139_562.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209353/41209353_1616703139_855.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209353/41209353_1616703139_658.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41209353/41209353_1616703139_55.jpg",,Trucks,Trucks,,,,Freightliner M2112 ,https://www.truckscorner.com/auction/trucks-1/41209353/freightliner-m2112-n-a.html,"
                    ",Freightliner,M2112,,,,,"
                    ",,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41209353/41209353_1616703139_453.jpg,,,,,,,,,,,,,,,,,,,"
                    ",,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,2014
,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208592/41208592_1616701623_97.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208592/41208592_1616701623_240.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208592/41208592_1616701623_579.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208592/41208592_1616701623_609.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208592/41208592_1616701623_466.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208592/41208592_1616701623_910.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208592/41208592_1616701623_173.jpg",,Trucks,Trucks,,,,Peterbilt 348 ,https://www.truckscorner.com/auction/trucks-1/41208592/peterbilt-348-n-a.html,"
                    ",Peterbilt,348,,,,,"
                    ",,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41208592/41208592_1616701623_97.jpg,,,,,,,,,,,,,,,,,,,"
                    ",,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,
,sale,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/666588/41209654/41209654_1616717379_94.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/666588/41209654/41209654_1616717379_733.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/666588/41209654/41209654_1616717379_874.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/666588/41209654/41209654_1616717379_82.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/666588/41209654/41209654_1616717379_656.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/666588/41209654/41209654_1616717379_838.jpg",,Trucks,Trucks,,,,International S2500 ,https://www.truckscorner.com/used/trucks-1/41209654/international-s2500-n-a.html,"
                    ",International,S2500,,,,,"
                    ",,//d22dk94hfc1k6q.cloudfront.net/none/220-160/666588/41209654/41209654_1616717379_94.jpg,,,,,,,,,,,,,,,,,,,"
                    ",,,RTR Services,,,,,,,,,,1999
,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208588/41208588_1616701619_348.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208588/41208588_1616701619_751.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208588/41208588_1616701619_291.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208588/41208588_1616701619_669.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208588/41208588_1616701619_235.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208588/41208588_1616701619_888.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208588/41208588_1616701619_95.jpg",,Trucks,Trucks,,,,International 7400 ,https://www.truckscorner.com/auction/trucks-1/41208588/international-7400-n-a.html,"
                    ",International,7400,,,,,"
                    ",,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41208588/41208588_1616701619_348.jpg,,,,,,,,,,,,,,,,,,,"
                    ",,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,2010
,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208369/41208369_1616701227_423.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208369/41208369_1616701227_953.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208369/41208369_1616701227_196.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208369/41208369_1616701227_47.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208369/41208369_1616701227_885.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208369/41208369_1616701227_419.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208369/41208369_1616701227_386.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208369/41208369_1616701227_311.jpg",,Trucks,Trucks,,,,Freightliner M2106 ,https://www.truckscorner.com/auction/trucks-1/41208369/freightliner-m2106-n-a.html,"
                    ",Freightliner,M2106,,,,,"
                    ",,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41208369/41208369_1616701227_423.jpg,,,,,,,,,,,,,,,,,,,"
                    ",,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,2014
,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208593/41208593_1616701626_254.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208593/41208593_1616701626_701.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208593/41208593_1616701626_536.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208593/41208593_1616701626_306.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208593/41208593_1616701626_135.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208593/41208593_1616701626_568.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41208593/41208593_1616701626_291.jpg",,Trucks,Trucks,,,,Freightliner M2 ,https://www.truckscorner.com/auction/trucks-1/41208593/freightliner-m2-n-a.html,"
                    ",Freightliner,M2,,,,,"
                    ",,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41208593/41208593_1616701626_254.jpg,,,,,,,,,,,,,,,,,,,"
                    ",,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,
,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41198854/41198854_1616640857_319.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41198854/41198854_1616640857_311.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41198854/41198854_1616640857_724.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41198854/41198854_1616640857_126.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41198854/41198854_1616640857_282.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41198854/41198854_1616640857_160.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41198854/41198854_1616640857_859.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41198854/41198854_1616640857_231.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41198854/41198854_1616640857_698.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41198854/41198854_1616640857_177.jpg",,Trucks,Trucks,,,,Freightliner M2106 ,https://www.truckscorner.com/auction/trucks-1/41198854/freightliner-m2106-n-a.html,"
                    ",Freightliner,M2106,,,,,"
                    ",,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41198854/41198854_1616640857_319.jpg,,,,,,,,,,,,,,,,,,,"
                    ",,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,2006
,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41199014/41199014_1616641225_553.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41199014/41199014_1616641225_471.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41199014/41199014_1616641225_595.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41199014/41199014_1616641225_368.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41199014/41199014_1616641225_660.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41199014/41199014_1616641225_64.jpg",,Trucks,Trucks,,,,Peterbilt 362 Others,https://www.truckscorner.com/auction/trucks-1/41199014/peterbilt-362-others.html,"
                    ",Peterbilt,362,,,,,"
                    ",,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41199014/41199014_1616641225_553.jpg,,,,,,,,,,,,,,,,,,,"
                    ",,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,1993
,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41199003/41199003_1616641195_513.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41199003/41199003_1616641195_937.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41199003/41199003_1616641195_697.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41199003/41199003_1616641195_353.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41199003/41199003_1616641195_52.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41199003/41199003_1616641195_809.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41199003/41199003_1616641195_395.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41199003/41199003_1616641195_841.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41199003/41199003_1616641195_825.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41199003/41199003_1616641195_988.jpg",,Trucks,Trucks,,,,International 4300 Others,https://www.truckscorner.com/auction/trucks-1/41199003/international-4300-others.html,"
                    ",International,4300,,,,,"
                    ",,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41199003/41199003_1616641195_513.jpg,,,,,,,,,,,,,,,,,,,"
                    ",,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,2005
